collection_id,time,type,scheduling_class,priority,collection_type
393193905554,1769438687380,2,2,25,0
393193905554,1769461065709,3,2,25,0
393193905554,1769520660655,6,2,25,0
393194894522,1770523724759,0,0,105,0
393194894522,1770590908384,1,0,105,0
393194894522,1772607583975,2,0,105,0
393194894522,1772616206471,3,0,105,0
393194894522,1772721411090,6,0,105,0
393196804802,1772598474777,1,2,115,0
393196804802,1773585732396,2,2,115,0
393196804802,1773589730147,3,2,115,0
393196804802,1773658852227,6,2,115,0
393204566070,1780636400328,0,2,25,0
393204566070,1780636400336,2,2,25,0
393204566070,1780636499299,3,2,25,0
393204566070,1782018310933,6,2,25,0
393224945213,1787720844006,0,2,117,0
393224945213,1787750022950,2,2,117,0
393224945213,1787805841771,3,2,117,0
393224945213,1788082491163,6,2,117,0
393241633896,1791416984660,0,2,117,0
393241633896,1791447474661,2,2,117,0
393241633896,1791465783203,3,2,117,0
393241633896,1792568253727,6,2,117,0
393261271877,1795198172056,0,2,115,0
393261271877,1795251560761,1,2,115,0
393261271877,1804987902467,2,2,115,0
393261271877,1805016232517,3,2,115,0
393261271877,1808460782069,6,2,115,0
393263566398,1796210293023,0,2,117,0
393263566398,1796240865624,2,2,117,0
393263566398,1796295204041,3,2,117,0
393263566398,1802990164528,6,2,117,0
393273691722,1797933651098,1,0,105,0
393273691722,1798864649837,2,0,105,0
393273691722,1798866141053,3,0,105,0
393273691722,1798938350740,6,0,105,0
393275586629,1798508016519,0,2,25,0
393275586629,1798508016527,2,2,25,0
393275586629,1798508161429,3,2,25,0
393275586629,1798757181857,6,2,25,0
393292251031,1801690925734,0,2,117,0
393292251031,1801720555073,2,2,117,0
393292251031,1801743949304,3,2,117,0
393292251031,1802093926460,6,2,117,0
393292261303,1801703436709,0,2,117,0
393292261303,1801724807338,2,2,117,0
393292261303,1801743949286,3,2,117,0
393292261303,1807182132389,6,2,117,0
393348730921,1802100261068,1,2,115,0
393348730921,1804987869743,2,2,115,0
393348730921,1805003848719,3,2,115,0
393348730921,1805642801395,6,2,115,0
393516341926,1803261060383,0,2,117,0
393516341926,1803286391584,2,2,117,0
393516341926,1803336217109,3,2,117,0
393516341926,1803817346966,6,2,117,0
393524100286,1805109433938,1,1,115,0
393524100286,1805477100547,2,1,115,0
393524100286,1805479349531,3,1,115,0
393524100286,1806692369661,6,1,115,0
393524665417,1805342441833,1,2,115,0
393524665417,1805355074327,2,2,115,0
393524665417,1805363386861,3,2,115,0
393524665417,1805823286124,6,2,115,0
393534754536,1806219323496,1,2,115,0
393534754536,1806517642338,2,2,115,0
393534754536,1806527011806,3,2,115,0
393534754536,1806815887434,6,2,115,0
393543058112,1807481181509,0,2,115,0
393543058112,1807497951327,2,2,115,0
393543058112,1807501030676,3,2,115,0
393543058112,1807733433782,6,2,115,0
393545437063,1807689109083,0,2,115,0
393545437063,1807742528833,2,2,115,0
393545437063,1807748858623,3,2,115,0
393545437063,1807935322321,6,2,115,0
393558445728,1810004099077,1,2,115,0
393558445728,1810620513162,2,2,115,0
393558445728,1810629246415,3,2,115,0
393558445728,1810884578481,6,2,115,0
393558500347,1810032633763,1,0,107,0
393558500347,1810068952579,2,0,107,0
393558500347,1810086962266,3,0,107,0
393558500347,1810770789647,6,0,107,0
393584136177,1816931294256,0,2,117,0
393584136177,1816952495287,2,2,117,0
393584136177,1816990437187,3,2,117,0
393584136177,1822600407051,6,2,117,0
393599591987,1819749490308,0,2,25,0
393599591987,1819749490312,2,2,25,0
393599591987,1819761119244,3,2,25,0
393599591987,1819822199911,6,2,25,0
393616766130,1824627509687,1,2,115,0
393616766130,1825557278294,2,2,115,0
393616766130,1825559305274,3,2,115,0
393616766130,1826637425151,6,2,115,0
393624745234,1829120215491,1,0,105,0
